Vendor,User_Count_Query,Proper_Title_Query
ProQuest Ebook Central,/html/body/div[11]/div/div/div[2]/div[2]/div[1]/div[1]/p,/html/body/div[11]/div/div/div[2]/div[1]/h1
EBSCO Ebooks,/html/body/form/div[2]/div[1]/div[3]/div/div[3]/div[1]/dl/dd[1]/a/span/h1,//*[@id="concurrent_access_level"]
